anio,mes,dia,hora,minuto,segundo,clasificacion_distancia,latitud,longitud,profundidad_km,cantidad_estaciones,rms,gap,magnitud_ml,significativo
2024,3,11,13,6,53.2,L,-53.739,-71.785,13.7,5,0.8,257,2.8,0
2024,3,14,13,13,7.0,L,-52.97,-72.875,5.0,6,0.2,320,3.3,0
2024,3,26,2,16,57.2,L,-57.331,-68.388,11.9,3,0.1,328,2.8,0
2024,4,9,11,26,59.2,L,-53.929,-71.009,20.4,5,0.1,232,2.8,0
2024,4,14,3,39,46.7,R,-54.562,-67.144,12.4,4,0.1,265,2.3,0
2024,4,14,16,44,2.3,R,-54.054,-70.857,5.9,5,0.5,232,2.6,0
2024,4,18,13,15,33.7,R,-54.297,-63.533,13.7,4,0.4,335,2.8,0
2024,4,19,10,48,23.1,R,-56.628,-69.189,11.5,3,0.2,343,3.1,0
2024,4,20,9,24,12.7,R,-56.941,-68.259,22.0,2,0.2,347,3.1,0
2024,5,12,15,39,12.2,R,-54.351,-64.894,14.1,5,0.1,309,2.8,0
2024,5,15,14,56,13.7,R,-57.63,-67.318,30.5,6,0.4,288,3.9,0
2024,5,29,13,23,44.4,R,-50.278,-71.917,0.0,4,0.6,332,3.5,0
2024,6,16,20,19,28.8,R,-57.636,-66.523,5.0,5,0.4,285,3.2,0
2024,6,19,18,10,47.2,R,-55.582,-70.191,22.2,3,0.0,293,2.4,0
2024,6,24,12,24,44.1,L,-54.661,-67.648,10.0,3,0.1,236,1.9,0
2024,6,29,8,25,18.1,L,-54.524,-67.246,10.0,3,0.5,234,2.2,0
2024,8,21,2,13,14.6,R,-53.687,-73.84,31.5,5,0.1,312,3.2,0
2024,8,23,5,53,0.5,R,-53.793,-59.306,32.3,5,0.7,338,3.4,0
2024,9,15,7,51,53.1,R,-52.263,-72.09,13.4,4,0.4,209,3.2,0
2024,11,6,13,32,18.2,L,-54.603,-67.563,6.0,4,0.1,154,2.2,0
