anio,mes,dia,hora,minuto,segundo,clasificacion_distancia,latitud,longitud,profundidad_km,cantidad_estaciones,rms,gap,magnitud_ml,significativo,dist_ushuaia,dist_rio_grande,dist_tolhuin,distancia_min_km,percibido
2022,8,22,20,35,12.2,R,-58.231,-61.649,0.7,5,0.7,289,3.6,0,559.5094620311022,622.1176679701157,536.122510546373,536.122510546373,0
2022,8,23,0,35,18.1,R,-52.424,-72.721,4.5,7,0.3,240,4.2,1,394.2449923051938,368.24356660818404,434.99961153197404,368.24356660818404,0
2022,8,23,5,4,43.1,R,-52.442,-71.744,20.7,9,1.0,163,3.4,0,347.51805665999774,308.81469772078356,380.62781679809956,308.81469772078356,0
2022,8,24,17,53,41.9,R,-52.4,-71.538,14.5,7,0.7,138,3.2,0,342.45612719181725,299.3234308555422,372.9218770929767,299.3234308555422,0
2022,8,24,20,27,26.2,R,-52.482,-71.857,18.5,7,0.7,179,2.9,0,349.0788374039014,313.2486602273086,383.8431932833962,313.2486602273086,0
2022,8,30,14,32,14.9,R,-52.369,-71.513,11.2,9,0.9,134,3.8,0,344.1788824410145,299.76991932060884,373.91798762857735,299.76991932060884,0
2022,8,30,14,41,34.5,L,-54.398,-69.021,5.8,2,0.7,298,2.0,0,64.61182045468858,109.441413657013,119.5501906396835,64.61182045468858,0
2022,8,31,22,29,21.4,L,-54.709,-69.988,24.4,4,0.3,274,2.5,0,108.9740702025586,180.47310048028675,181.97417479406616,108.9740702025586,0
2022,9,5,20,20,46.7,L,-52.687,-71.002,0.0,6,0.4,138,3.1,0,295.1096553916373,251.6250541609933,324.5270860703997,251.6250541609933,0
2022,9,6,3,13,22.7,L,-54.362,-65.588,0.0,5,0.5,299,2.7,0,182.2341978597125,152.86706779736048,105.4191583564672,105.4191583564672,0
2022,9,9,20,57,14.1,R,-52.303,-71.315,6.8,8,0.6,152,3.3,0,342.2776076931609,292.8125229391107,368.95079596155045,292.8125229391107,0
2022,9,23,17,45,17.2,R,-54.095,-63.325,28.0,4,0.3,339,3.0,0,332.28750939002884,289.8975924584599,255.95866795023105,255.95866795023105,0
2022,9,25,13,16,34.5,R,-53.581,-56.513,32.0,5,0.5,283,3.5,0,780.5155490321421,739.352629602428,706.3556222134946,706.3556222134946,0
2022,10,2,21,45,58.7,R,-56.687,-54.109,5.0,8,1.3,347,3.7,0,914.0013987312471,921.5406127781968,857.4731704469804,857.4731704469804,0
2022,10,19,5,54,41.6,L,-52.394,-71.845,0.0,6,2.7,170,3.2,0,356.01568026998183,317.4511029599597,389.32853861515986,317.4511029599597,0
2022,11,8,7,34,26.6,R,-57.748,-66.891,0.0,5,0.3,287,3.1,0,339.4810101393291,443.9035636299089,359.7418159933587,339.4810101393291,0
2022,11,14,9,48,44.4,L,-54.83,-69.776,32.1,3,0.3,253,2.2,0,94.74425091843437,177.617453223898,170.32954041703735,94.74425091843437,0
2022,11,14,16,50,58.0,R,-56.559,-69.964,11.0,3,0.3,314,2.6,0,221.76858524373765,340.27844181064194,286.54900728787453,221.76858524373765,0
2022,11,16,15,18,38.3,R,-57.283,-65.779,13.5,4,0.2,278,3.0,0,317.84948882607944,407.743308168416,319.869259343173,317.84948882607944,0
2022,12,20,19,42,57.0,L,-54.5,-69.598,28.9,4,0.1,223,2.4,0,90.091215471882,146.6780180704172,155.9974148939109,90.091215471882,0
2023,1,6,5,9,43.4,L,-54.937,-68.2,10.1,3,0.0,246,2.4,0,16.42908318767318,131.8432506200358,79.8535997962114,16.42908318767318,0
2023,1,7,10,36,30.9,R,-52.365,-71.51,9.1,8,0.5,134,3.5,0,344.4127435412722,299.8437498456845,374.0605431710472,299.8437498456845,0
2023,1,12,3,0,14.0,R,-57.214,-67.369,0.0,5,0.2,283,2.7,0,274.8078849456203,382.0639971724126,300.00211356134923,274.8078849456203,0
2023,1,14,4,3,43.4,R,-56.995,-67.348,0.0,5,0.4,280,2.7,0,251.37491045286902,357.8033802511342,275.5831551934478,251.37491045286902,0
2023,1,18,18,32,45.7,R,-52.589,-66.455,27.7,4,0.4,203,2.6,0,274.8601856963711,157.56430624584056,220.50909088223497,157.56430624584056,0
2023,1,31,7,17,52.4,L,-54.654,-67.333,11.2,2,0.0,337,1.4,0,64.62534915469728,99.50486326541886,17.426884754298552,17.426884754298552,0
